gender,race,age,age_binary,Bachelor,High School,PhD,Master,Community College,Elite University,Private High School,Public University,Online Institution,Public High School,years_experience,Python,Java,JavaScript,SQL,Git,React,Docker,AWS,Machine Learning,Data Structures,Algorithms,Debugging,Communication,Teamwork,Problem Solving,English,Spanish,French,Mandarin,Arabic,Portuguese,test_score,true_qualification,hiring_score
0,0,31,1,1,0,0,0,0,0,0,1,0,0,9,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,77.48,67.32,21.73
1,0,29,1,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,91.33,74.01,30.81
1,0,23,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,100,80.25,33.3
0,0,39,1,1,0,0,0,0,0,0,0,1,0,7,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,87.79,68.31,19.73
0,0,46,1,1,0,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,69.99,66.3,18.92
1,0,43,1,1,0,0,0,0,0,0,1,0,0,21,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90.49,76.06,29.23
0,1,32,1,0,1,0,0,0,0,1,0,0,0,4,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,71.44,73.42,28.17
1,1,24,1,1,0,0,0,0,0,0,1,0,0,4,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,53.55,52.88,26.35
0,0,65,0,0,0,0,1,0,0,0,1,0,0,26,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,71.96,85.37,18.55
0,0,32,1,1,0,0,0,1,0,0,0,0,0,12,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,45.72,62.01,19.6
0,1,32,1,0,1,0,0,0,0,0,0,0,1,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,67.7,57.98,21.99
0,1,36,1,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,64.61,75.32,26.53
0,1,22,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,48.18,44.87,16.75
1,0,60,0,1,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,87.2,95.94,29.17
0,1,28,1,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,70.93,74.62,28.65
0,0,41,1,1,0,0,0,0,0,0,0,1,0,7,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,56.79,72.97,21.59
0,1,43,1,0,1,0,0,0,0,0,0,0,1,15,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,43.65,68.06,23.62
1,1,22,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,78.66,69.85,33.14
0,0,29,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,92.32,54.37,16.55
0,0,34,1,0,1,0,0,0,0,0,0,0,1,8,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,97.13,81.42,27.37
1,1,43,1,0,1,0,0,0,0,1,0,0,0,11,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,94.07,83.2,36.08
0,1,32,1,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,75.19,75.32,28.93
1,0,39,1,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,93.01,92.78,35.91
1,1,56,0,0,0,0,1,0,0,0,1,0,0,29,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,62.88,75.08,24.83
1,0,34,1,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,46.31,74.04,30.82
0,1,65,0,0,0,0,1,0,0,0,1,0,0,20,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,100,110.94,32.77
1,0,24,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,79.13,76.84,31.94
1,1,29,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,75.7,72.77,34.31
1,0,39,1,1,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,90.91,93.64,36.26
1,0,47,1,0,0,0,1,0,1,0,0,0,0,19,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,76.01,103.69,40.28
1,1,25,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,97.34,87.57,40.23
1,1,24,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,44.41,47.33,24.13
0,1,46,1,0,0,0,1,0,0,0,0,1,0,17,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,74.78,90.77,32.71
1,0,47,1,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,85.05,80.25,30.9
1,0,48,1,0,0,0,1,0,1,0,0,0,0,11,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,68.3,79.13,30.45
1,1,33,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,59.47,50.03,25.21
0,1,48,1,1,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,87.77,72.28,25.31
1,1,22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,95.5,87.64,40.25
1,0,56,0,1,0,0,0,0,0,0,0,1,0,19,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,60.42,74.57,20.63
1,1,23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,58.78,64.7,31.08
1,1,43,1,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,68.39,87.68,37.87
1,1,36,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,83.44,63.74,28.3
1,1,59,0,0,1,0,0,0,0,1,0,0,0,20,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,37.46,58.83,18.33
1,1,58,0,0,0,0,1,0,0,0,0,1,0,19,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,86.33,93.61,32.24
1,0,31,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,66.53,59.62,25.05
1,1,28,1,1,0,0,0,0,1,0,0,0,0,6,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,50.08,57.21,28.08
1,1,25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,65.97,53.27,26.51
0,0,48,1,1,0,0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,71.95,75.6,22.64
1,1,45,1,1,0,0,0,0,1,0,0,0,0,11,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,73.2,75.05,32.82
1,1,22,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,100,87.92,40.37
0,1,32,1,1,0,0,0,0,0,0,1,0,0,4,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,90.77,68.4,26.16
1,0,23,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,86.56,56.57,23.83
0,0,43,1,0,0,0,1,0,0,0,1,0,0,17,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,67.69,84.19,26.08
1,0,22,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,80,77.5,32.2
0,1,24,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,68.59,63.19,24.08
0,0,40,1,1,0,0,0,1,0,0,0,0,0,7,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,56.33,48.77,11.91
0,1,40,1,1,0,0,0,0,1,0,0,0,0,16,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,71.96,83.76,29.9
0,0,47,1,0,0,1,0,0,0,0,1,0,0,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,82.07,105.69,34.68
0,0,50,0,1,0,0,0,0,0,0,1,0,0,22,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,100,94.69,22.28
1,1,48,1,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,50.18,60.62,27.05
1,0,48,1,1,0,0,0,0,0,0,1,0,0,15,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,58.12,74.46,28.58
1,1,58,0,1,0,0,0,1,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,91.9,81.45,27.38
0,0,48,1,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,63.26,66.56,19.02
1,1,25,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,76.6,63.93,30.77
1,1,35,1,1,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,79.35,71.52,31.41
1,1,43,1,1,0,0,0,0,0,0,1,0,0,16,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,94.07,96.61,41.44
1,0,33,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,69.74,70.45,29.38
0,0,45,1,1,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,84.24,78.95,23.98
1,1,24,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,49.95,67.6,32.24
0,1,25,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,84.09,55.1,20.84
1,1,54,0,0,0,0,1,0,0,0,0,1,0,26,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,89.58,91.81,31.52
1,1,24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,86.15,67.38,32.15
1,1,28,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,50.56,51.82,25.93
0,0,22,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,89.74,73.41,24.16
0,1,32,1,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,69.78,68.49,26.2
1,1,26,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,90.8,58.52,28.61
0,0,25,1,0,1,0,0,0,0,1,0,0,0,5,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,84.11,52.2,15.68
1,0,29,1,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,100,83.78,34.71
0,0,39,1,1,0,0,0,0,0,0,0,1,0,17,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,48.56,75.75,22.7
0,1,53,0,1,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,54.97,69.53,16.21
0,0,45,1,1,0,0,0,0,0,0,0,1,0,16,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,52.1,63.73,17.89
0,1,36,1,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,55.85,75.28,26.51
0,0,45,1,0,0,0,1,0,0,0,0,1,0,18,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,68.02,91.45,28.98
1,0,27,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67.82,58.66,24.67
1,0,48,1,1,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,88.02,79.77,30.71
1,1,54,0,0,1,0,0,0,0,0,0,0,1,19,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,90.98,71.05,23.22
0,0,50,0,0,0,0,1,0,1,0,0,0,0,22,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,49.77,63.33,9.73
1,1,22,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.48,50.54,25.42
0,1,63,0,0,0,0,1,0,0,0,0,1,0,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,72.51,73.78,17.91
0,1,44,1,1,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,82.39,80.49,28.59
1,1,32,1,0,0,0,1,0,0,0,1,0,0,12,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,67.56,79.96,37.18
0,0,60,0,1,0,0,0,0,1,0,0,0,0,28,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,66.44,71.24,12.9
1,1,44,1,1,0,0,0,0,0,0,0,1,0,15,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,62.4,77.15,33.66
1,1,64,0,0,0,1,0,0,0,0,1,0,0,26,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,80.02,103.78,36.31
1,1,27,1,0,0,0,1,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,62.39,70.41,33.36
0,1,61,0,1,0,0,0,0,1,0,0,0,0,33,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,67.04,75.25,18.5
1,1,59,0,0,0,0,1,0,0,0,1,0,0,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,88.99,91.92,31.57
0,0,45,1,0,0,0,1,0,1,0,0,0,0,19,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,84.73,93.79,29.92
0,1,48,1,0,0,0,1,0,1,0,0,0,0,16,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,71.61,88.25,31.7
0,0,35,1,1,0,0,0,0,0,0,0,1,0,10,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,100,76.29,22.92
1,0,23,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,77.63,69.15,28.86
1,0,22,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,52.15,48.4,20.56
1,1,31,1,1,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,85.98,79.78,37.11
1,0,26,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,67.47,49.24,20.9
0,0,22,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,71.66,60.47,18.99
1,0,22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,78.65,60.96,25.59
1,0,23,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,82.58,71.83,29.93
0,0,46,1,0,0,0,1,0,0,0,1,0,0,16,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94.94,92.79,29.52
1,1,34,1,0,0,0,1,0,0,0,0,1,0,10,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,54.63,68.8,32.72
1,0,28,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,46.66,55.58,23.43
1,0,56,0,0,0,0,1,0,0,0,0,1,0,10,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.64,71.77,19.51
1,0,24,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,88.16,72.7,30.28
1,1,32,1,0,1,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,72.31,52.39,26.15
1,0,44,1,1,0,0,0,0,1,0,0,0,0,18,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,88.87,89.47,34.59
0,0,45,1,1,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,76.72,85.07,26.43
1,0,44,1,0,0,0,1,0,1,0,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,67.74,73.92,28.37
1,1,43,1,0,0,0,1,0,1,0,0,0,0,14,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,100,98.03,42.01
1,0,61,0,0,0,0,1,0,0,0,1,0,0,25,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,59.66,79.29,22.51
0,0,27,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,51.57,65.97,21.19
1,0,54,0,1,0,0,0,0,0,0,0,1,0,21,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,51.35,78.67,22.27
1,0,54,0,1,0,0,0,0,1,0,0,0,0,24,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,79.86,83.6,24.24
1,0,27,1,1,0,0,0,0,0,0,1,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,48.9,55.01,23.2
1,0,32,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,51.66,59.02,24.81
1,0,28,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,68.58,79.37,32.95
1,1,47,1,0,0,0,1,0,0,0,1,0,0,18,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,93.22,96.73,41.49
1,0,25,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,74.44,57.02,24.01
1,1,59,0,1,0,0,0,1,0,0,0,0,0,22,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,66.17,77.1,25.64
0,0,22,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.2,80.97,27.19
0,1,27,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,60.92,58.07,22.03
0,1,47,1,1,0,0,0,0,1,0,0,0,0,14,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.26,84.98,30.39
0,1,43,1,0,0,0,1,0,0,0,1,0,0,14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,68.27,79.56,28.22
